Source,Target,Relation
32552,32544,influential
32552,32547,influential
32553,32401,influential
32555,32473,influential
32556,32402,influential
32556,32414,influential
32556,32419,influential
32556,32421,influential
32556,32442,influential
32556,32445,influential
32556,32498,influential
32556,32536,influential
32556,32558,influential
32556,32565,influential
32558,32421,influential
32559,32443,influential
32559,32535,influential
32559,32544,influential
32560,32401,influential
32560,32493,influential
32560,32503,influential
32561,32428,influential
32561,32437,influential
32561,32444,influential
32561,32493,influential
32561,32560,influential
32563,32393,influential
32563,32439,influential
32563,32484,influential
32563,32485,influential
32563,32544,influential
32563,32547,influential
32564,32440,influential
32564,32443,influential
32564,32522,influential
32565,32421,influential
32393,32422,disrespect
32423,32421,disrespect
32427,32393,disrespect
32427,32544,disrespect
32427,32547,disrespect
32439,32544,disrespect
32470,32415,disrespect
32480,32471,disrespect
32481,32393,disrespect
32481,32422,disrespect
32481,32544,disrespect
32481,32547,disrespect
32506,32459,disrespect
32507,32422,disrespect
32507,32544,disrespect
32511,32459,disrespect
32517,32469,disrespect
32529,32455,disrespect
32399,32483,feedback
32413,32429,feedback
32422,32481,feedback
32503,32450,feedback
32522,32440,feedback
32522,32446,feedback
32522,32530,feedback
32536,32402,feedback
