Participant_ID,friends_in_degree,friends_out_degree,friends_closeness,friends_betweenness,advice_in_degree,advice_out_degree,advice_closeness,advice_betweenness,disrespect_in_degree,disrespect_out_degree,disrespect_closeness,disrespect_betweenness,moretime_in_degree,moretime_out_degree,moretime_closeness,moretime_betweenness,influential_in_degree,influential_out_degree,influential_closeness,influential_betweenness,feedback_in_degree,feedback_out_degree,feedback_closeness,feedback_betweenness,academic_score,mental_score,social_score
32436,3.0,0.0,0.03195909236177692,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.07161125319693094,0.00244824016563147,0.0,1.0,0.0,0.0,79.32314969086086,68.99782051174124,68.47960971428614
32437,0.0,9.0,0.0,0.0,3.0,3.0,0.01935483870967742,0.00025136154168412233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.64224502224043,86.60581961659986,85.78781527924032
32438,10.0,0.0,0.06767337807606263,0.0,6.0,0.0,0.05451612903225807,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,92.1817799313603,70.07010156004301,72.46679949307783
32439,2.0,6.0,0.02588686481303931,0.0006046314771146986,2.0,6.0,0.0512128032008002,0.01379835218544896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.02647924158221641,0.01199534161490683,0.0,0.0,0.0,0.0,87.6885217132124,84.61272642603865,81.4541811097771
32440,0.0,2.0,0.0,0.0,9.0,2.0,0.05806451612903226,0.0032970255550900714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,93.43800825575832,83.01089185930184,83.82505893668782
32441,1.0,3.0,0.006711409395973154,3.778946731966866e-05,3.0,0.0,0.08304198954766624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.04508856682769726,0.0002846790890269151,0.0,0.0,0.0,0.0,91.59026631173741,87.9931940567314,76.40772609152845
32442,1.0,11.0,0.006711409395973154,0.00018138944313440957,2.0,6.0,0.04753127057274522,0.00033165758972210585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.06571428571428571,0.0,0.0,0.0,0.0,0.0,88.33746495084907,87.24993616809056,76.79446113799219
32443,10.0,0.0,0.06711409395973154,0.0,3.0,0.0,0.0521449950116395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.006211180124223602,0.0,0.0,0.0,0.0,0.0,92.40561912526476,77.18494016176915,75.39629024244779
32444,1.0,7.0,0.012080536912751677,0.00022673680391801197,1.0,1.0,0.011612903225806452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.024844720496894408,0.0,0.0,0.0,0.0,0.0,91.71898650980657,88.68280336831909,78.73304495916896
32445,0.0,4.0,0.0,0.0,2.0,3.0,0.05578520378597643,0.00013964530093562352,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.037267080745341616,0.0002976190476190476,0.0,0.0,0.0,0.0,86.08922366356776,80.6531553303249,72.04760198018563
32446,4.0,2.0,0.028635346756152123,0.001383094503899873,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.04508856682769726,0.0016977225672877845,0.0,0.0,0.0,0.0,78.66740027486941,80.04229833032352,73.32665682579406
32447,19.0,0.0,0.11648276646570356,0.0,1.0,0.0,0.0064516129032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,90.95626845222489,76.14919001524429,72.87463027662504
32448,2.0,6.0,0.015340364333652923,0.0,1.0,1.0,0.0064516129032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,96.10764511504905,85.1843356879423,84.1566394491844
32449,16.0,0.0,0.10414255959268688,0.0,2.0,0.0,0.012903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,92.7173799113368,75.41722665477967,72.88533074470244
32450,0.0,2.0,0.0,0.0,3.0,0.0,0.04108658743633277,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06666666666666667,0.0,4.0,4.0,0.0518312272435211,3.881987577639752e-05,0.0,0.0,0.0,0.0,87.44063621605659,88.95749381551721,72.76099587978621
32451,1.0,1.0,0.006711409395973154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,93.12030629653871,79.7252771340055,77.73542351975398
32452,1.0,2.0,0.015340364333652923,0.00015871576274260839,4.0,4.0,0.06537437111571472,0.00012568077084206116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,92.2811644467653,83.23284861350604,83.65923880385326
32453,1.0,0.0,0.006711409395973154,0.0,4.0,8.0,0.03225806451612903,0.000867197318810222,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,90.728518208969,66.86543524024799,74.58919959959783
32454,4.0,2.0,0.030201342281879193,0.00036277888626881915,2.0,3.0,0.028050490883590462,6.982265046781176e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0751552795031056,0.0005887681159420291,0.0,0.0,0.0,0.0,83.54689244205858,82.66738714989542,74.00114869927675
32455,2.0,2.0,0.020453819111537232,0.0009674103633835176,10.0,6.0,0.1071549842347805,0.012623935204580368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.03043478260869565,0.001048136645962733,0.0,0.0,0.0,0.0,91.83371404881265,82.53749976050167,81.422249208674
32456,1.0,0.0,0.012080536912751677,0.0,4.0,3.0,0.03176178660049628,0.0004608294930875576,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,90.09681218910171,67.90298240870094,75.58794685501489
32457,3.0,2.0,0.035307849430989205,1.5115786927867463e-05,1.0,5.0,0.03878299120234604,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06666666666666667,0.0,2.0,1.0,0.012422360248447204,0.0,0.0,0.0,0.0,0.0,89.26479853287957,86.16972369548819,81.14935658499716
32458,1.0,2.0,0.012080536912751677,0.0,1.0,3.0,0.013662239089184063,0.00016757436112274822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.07312581250902787,0.00010998964803312629,0.0,0.0,0.0,0.0,85.11454378036198,86.41560033963262,72.38066350092065
32459,9.0,1.0,0.06442953020134227,0.00013604208235080717,1.0,0.0,0.0064516129032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,91.22650087117692,74.4919107447596,76.81658183218767
32460,3.0,2.0,0.026845637583892613,0.00013604208235080717,1.0,0.0,0.015053763440860214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.05218937656245973,2.3291925465838514e-05,0.0,0.0,0.0,0.0,90.84784113850559,87.75742523495329,73.45129533229584
32462,1.0,2.0,0.013422818791946308,0.00013604208235080717,3.0,6.0,0.01935483870967742,0.0005515989386957129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.07355344883949001,0.0019862836438923385,0.0,0.0,0.0,0.0,87.73378407718597,85.04950752448676,75.05583293929357
32464,2.0,6.0,0.02588686481303931,0.0007104419856097709,1.0,9.0,0.031310197217550836,0.002822231531908951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,94.24611213152474,81.42212343336841,85.1272335194432
32465,9.0,5.0,0.06671930517173312,0.0012470524215490658,5.0,2.0,0.06628119293974437,0.0020108923334729786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.061746437705516986,9.70496894409938e-06,0.0,0.0,0.0,0.0,91.92485466249548,81.86449196670917,78.74566082319518
32467,8.0,0.0,0.05436241610738255,0.0,4.0,0.0,0.041204776332204596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.01987577639751553,0.0,0.0,0.0,0.0,0.0,90.5340001608283,73.43631463842505,73.43404250985576
32468,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.020289855072463767,4.7877846790890265e-05,1.0,0.0,0.1,0.0,88.3390785427803,86.7519314706798,76.31680771359794
32469,0.0,3.0,0.0,0.0,5.0,7.0,0.03512544802867383,0.0023380613242364396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.20687534591968512,2.587991718426501e-05,0.0,0.0,0.0,0.0,87.10860028191243,82.05848353709409,75.97969156221853
