Participant_ID,friends_in_degree,friends_out_degree,friends_closeness,friends_betweenness,advice_in_degree,advice_out_degree,advice_closeness,advice_betweenness,disrespect_in_degree,disrespect_out_degree,disrespect_closeness,disrespect_betweenness,moretime_in_degree,moretime_out_degree,moretime_closeness,moretime_betweenness,influential_in_degree,influential_out_degree,influential_closeness,influential_betweenness,feedback_in_degree,feedback_out_degree,feedback_closeness,feedback_betweenness,academic_score,mental_score,social_score
32404,6.0,5.0,0.04332259219477265,0.0018326965489392103,4.0,1.0,0.04840673111349803,3.028608703755475e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,94.10360297023001,85.92987945239024,87.01579248884441
32405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.10373282640629049,0.00584107481770053,0.0,0.0,0.0,0.0,78.02399870696149,74.11032782088412,70.93947081568405
32406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.07104391052195526,0.0004095494955548896,0.0,0.0,0.0,0.0,78.82519703085165,75.10638978084083,69.39234592938762
32407,3.0,5.0,0.024295432458697766,8.542229677259032e-05,1.0,4.0,0.006802721088435374,6.98909700866648e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0015172341066,83.9437118627217,89.75186957384753
32408,1.0,0.0,0.0272108843537415,0.0,6.0,3.0,0.04859086491739553,9.318796011555308e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.06009389671361502,0.0,0.0,0.0,0.0,0.0,86.29448343166679,76.66933049971786,74.55015859364048
32409,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.08329286061194754,1.2486265108380781e-05,0.0,0.0,0.0,0.0,85.34112957733431,87.28790139104039,76.85035423187375
32410,4.0,3.0,0.04897959183673469,0.0009318796011555308,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.81277516305784,88.63321590099267,92.11621547004455
32411,1.0,6.0,0.006802721088435374,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,0.08294962080173349,0.003359410708826352,0.0,0.0,0.0,0.0,82.49177274854588,87.42390106615251,78.33248814377177
32412,1.0,2.0,0.006802721088435374,0.0,5.0,0.0,0.0499852114758947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,90.95427313753564,87.99847678813435,84.26732465125787
32413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.04836712583191456,0.0015482968734392168,0.0,1.0,0.0,0.0,80.56146663719392,71.46580464336076,71.0563012387831
32414,1.0,0.0,0.009070294784580497,0.0,1.0,0.0,0.03401360544217687,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07142857142857142,0.0,4.0,13.0,0.040628385698808236,0.012096985523716117,0.0,0.0,0.0,0.0,76.5125848483668,78.1615355118037,72.37731304973087
32415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.04225352112676056,0.00013068957480105216,0.0,0.0,0.0,0.0,74.75208942062928,74.8091177546659,64.87487199290105
32416,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,88.51968880384037,87.84852831684591,83.47416865955134
32417,0.0,2.0,0.0,0.0,1.0,0.0,0.020732102364755423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.007042253521126761,0.0,0.0,0.0,0.0,0.0,91.32176561161356,92.05380722046674,85.97343134819802
32418,0.0,2.0,0.0,0.0,2.0,2.0,0.018140589569160995,0.0004193458205199888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,90.88020216369243,86.95926388781739,84.27979309489011
32419,1.0,0.0,0.01020408163265306,0.0,9.0,1.0,0.06349206349206349,9.318796011555309e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.04951584507042253,0.0,0.0,0.0,0.0,0.0,86.74011112232483,72.64956704027527,74.62507527941506
32420,0.0,3.0,0.0,0.0,2.0,0.0,0.02777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.73830722106129,90.99044049034588,88.55215447490615
32421,1.0,4.0,0.006802721088435374,0.0002795638803466592,3.0,17.0,0.044444444444444446,0.03930202217873451,1.0,0.0,0.047619047619047616,0.0,0.0,10.0,0.0,0.0,10.0,1.0,0.07922535211267606,0.011695468318183331,0.0,0.0,0.0,0.0,82.22366303434069,82.54478985239061,77.47183092782426
32422,2.0,1.0,0.03741496598639456,0.0009318796011555308,4.0,9.0,0.05895691609977324,0.011298263597676515,2.0,0.0,0.09523809523809523,0.0,0.0,4.0,0.0,0.0,6.0,3.0,0.13068099317554813,0.0005335797289648054,0.0,1.0,0.0,0.0,79.08590966174793,75.92450801192074,72.39879484818853
32423,5.0,0.0,0.033333333333333326,0.0,3.0,2.0,0.041666666666666664,0.005912776069331843,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,90.2546852783552,69.44642960928573,80.57357611240923
32424,1.0,5.0,0.026164311878597597,0.00010871928680147858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.53241551388861,94.23965629961707,88.24415821290512
32425,1.0,0.0,0.022263450834879402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.03169014084507042,0.0005677088535943795,0.0,0.0,0.0,0.0,78.71322963487555,78.59012229422066,69.52479890409295
32426,0.0,2.0,0.0,0.0,8.0,0.0,0.05668934240362813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,92.51286038935855,88.2264675096325,82.36087419940387
32427,2.0,2.0,0.03165881737310309,1.553132668592551e-05,2.0,1.0,0.04553108372061696,0.0004038144938340633,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,89.7205017340194,79.01974874367662,85.16492835256332
32428,3.0,4.0,0.029577048210588586,0.0002485012269748082,3.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.05965202982601492,0.0008698764692171945,0.0,0.0,0.0,0.0,87.24685533012712,85.27184445791092,77.54798658027104
32429,4.0,2.0,0.030612244897959183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.04037989404315803,5.826923717244364e-05,1.0,0.0,0.07692307692307693,0.0,81.25885397560008,86.46435263486487,76.968295509173
32430,6.0,4.0,0.042517006802721094,3.882831671481378e-05,2.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.47624747044794,87.70105754709695,87.42660594700271
32431,2.0,1.0,0.030486268581506677,0.0,5.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.02200704225352113,0.0,0.0,0.0,0.0,0.0,90.28662347464302,81.66559154974195,78.3109794698317
32432,2.0,10.0,0.03779289493575208,0.0025859658932065976,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.025352112676056335,0.0,0.0,0.0,0.0,0.0,85.86572109459993,87.44427772423428,81.38949034820585
32433,0.0,1.0,0.0,0.0,1.0,2.0,0.015549076773566569,0.0002329699002888827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.36361419205564,78.27227328763162,85.5806944282424
32434,1.0,3.0,0.006802721088435374,0.0,2.0,0.0,0.04806922769107643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.88206887731249,92.84516125897228,89.1040351081546
32435,0.0,1.0,0.0,0.0,1.0,7.0,0.02836879432624113,0.00045429130556332123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.07202304737516005,0.016761108235486422,0.0,0.0,0.0,0.0,81.04087565311615,73.75791598865206,73.95297642567829
32436,3.0,1.0,0.03578822833481219,0.0,8.0,3.0,0.061224489795918366,0.0010374926226198243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,0.09276086627290625,0.010780749400767384,0.0,0.0,0.0,0.0,85.20801161316953,75.96545107234513,75.41649350076094
32437,0.0,3.0,0.0,0.0,2.0,0.0,0.03170945797673908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0482897384305835,0.0009989012086704626,0.0,0.0,0.0,0.0,83.2729028956366,87.47369597076171,77.89130288038119
32438,1.0,2.0,0.01889644746787604,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.03169014084507042,0.00011404122132321113,0.0,0.0,0.0,0.0,84.08948349581084,86.28358877588889,78.53873650120197
32439,1.0,1.0,0.028383767300023455,0.0,9.0,3.0,0.07794304162342904,0.006426862982635977,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.11629409484429513,0.00022475277195085406,0.0,0.0,0.0,0.0,84.46821374491603,74.71720238459424,72.44548619596667
32440,1.0,3.0,0.022263450834879402,0.0,7.0,3.0,0.07376444553725105,6.600813841518342e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.05112154407929055,0.00019145606499517198,1.0,0.0,0.07692307692307693,0.0,85.88714654733958,81.49608584048264,80.02996677843251
32441,0.0,0.0,0.0,0.0,1.0,6.0,0.032520325203252036,0.001598173515981735,0.0,0.0,0.0,0.0,1.0,0.0,0.07142857142857142,0.0,6.0,12.0,0.0352112676056338,0.010204067733285593,0.0,0.0,0.0,0.0,76.12755473948805,75.29268963528249,75.91192048705899
32442,0.0,0.0,0.0,0.0,6.0,7.0,0.039215686274509796,0.0010996179293635262,0.0,0.0,0.0,0.0,1.0,0.0,0.07142857142857142,0.0,9.0,1.0,0.06094257854821235,5.4107148802983385e-05,0.0,0.0,0.0,0.0,84.12941576907414,72.06030029372874,72.69087801501632
32443,1.0,2.0,0.01889644746787604,0.0,1.0,2.0,0.04783163265306123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.07264640474425499,0.0015940798455032796,0.0,0.0,0.0,0.0,81.16878792218232,84.50039669770615,79.30631835615839
